Time,Date,Humidity (%),Temp (C)
919024,07-09-2021_15.22.52,65.5,26.7
919054,07-09-2021_15.23.22,65.5,26.7
919084,07-09-2021_15.23.52,65.5,26.7
919114,07-09-2021_15.24.22,65.5,26.7
919144,07-09-2021_15.24.52,65.5,26.8
919174,07-09-2021_15.25.22,65.4,26.7
919204,07-09-2021_15.25.52,65.5,26.8
919234,07-09-2021_15.26.23,65.5,26.8
919264,07-09-2021_15.26.53,65.5,26.8
919294,07-09-2021_15.27.23,65.6,26.8
919324,07-09-2021_15.27.53,65.6,26.8
919354,07-09-2021_15.28.23,65.7,26.8
919384,07-09-2021_15.28.53,65.7,26.8
919414,07-09-2021_15.29.23,65.8,26.8
919444,07-09-2021_15.29.53,65.9,26.7
919474,07-09-2021_15.30.23,66.0,26.8
919504,07-09-2021_15.30.53,66.2,26.8
919534,07-09-2021_15.31.23,66.3,26.7
919564,07-09-2021_15.31.53,66.3,26.8
919594,07-09-2021_15.32.23,66.4,26.7
919624,07-09-2021_15.32.53,66.6,26.7
919655,07-09-2021_15.33.23,67.0,26.7
919685,07-09-2021_15.33.53,67.0,26.7
919715,07-09-2021_15.34.23,67.2,26.8
919745,07-09-2021_15.34.53,67.2,26.7
919775,07-09-2021_15.35.23,67.5,26.8
919805,07-09-2021_15.35.53,67.5,26.7
919835,07-09-2021_15.36.23,67.6,26.7
919865,07-09-2021_15.36.53,67.7,26.7
919895,07-09-2021_15.37.23,67.7,26.7
919925,07-09-2021_15.37.53,67.7,26.7
919955,07-09-2021_15.38.23,67.9,26.8
919985,07-09-2021_15.38.53,67.9,26.7
920015,07-09-2021_15.39.23,67.9,26.7
920045,07-09-2021_15.39.53,68.0,26.8
920075,07-09-2021_15.40.24,68.0,26.7
920105,07-09-2021_15.40.54,68.2,26.7
920135,07-09-2021_15.41.24,68.2,26.7
920165,07-09-2021_15.41.54,68.2,26.7
920195,07-09-2021_15.42.24,68.3,26.7
920225,07-09-2021_15.42.54,68.4,26.8
920255,07-09-2021_15.43.24,68.5,26.7
920285,07-09-2021_15.43.54,68.5,26.7
920315,07-09-2021_15.44.24,68.6,26.7
920345,07-09-2021_15.44.54,68.8,26.7
920375,07-09-2021_15.45.24,68.8,26.7
920405,07-09-2021_15.45.54,68.9,26.7
920436,07-09-2021_15.46.24,68.9,26.7
920466,07-09-2021_15.46.54,69.0,26.7
920496,07-09-2021_15.47.24,69.1,26.7
920526,07-09-2021_15.47.54,69.0,26.7
920556,07-09-2021_15.48.24,69.1,26.7
920586,07-09-2021_15.48.54,69.1,26.7
920616,07-09-2021_15.49.24,69.1,26.7
920646,07-09-2021_15.49.54,69.1,26.7
920676,07-09-2021_15.50.24,69.1,26.7
920706,07-09-2021_15.50.54,69.1,26.7
920736,07-09-2021_15.51.24,69.1,26.7
920766,07-09-2021_15.51.54,69.0,26.7
920796,07-09-2021_15.52.24,69.0,26.7
920826,07-09-2021_15.52.54,69.0,26.7
920856,07-09-2021_15.53.24,68.9,26.7
920886,07-09-2021_15.53.54,69.0,26.7
920916,07-09-2021_15.54.25,68.9,26.7
920946,07-09-2021_15.54.55,68.8,26.6
920976,07-09-2021_15.55.25,68.8,26.6
921006,07-09-2021_15.55.55,68.9,26.7
921036,07-09-2021_15.56.25,68.9,26.6
921066,07-09-2021_15.56.55,69.0,26.7
