Time,Date,Humidity (%),Temp (C)
932480,07-09-2021_19.07.09,75.9,25.8
932510,07-09-2021_19.07.39,76.0,25.8
932540,07-09-2021_19.08.09,76.0,25.8
932570,07-09-2021_19.08.39,76.0,25.8
932600,07-09-2021_19.09.09,76.0,25.8
932630,07-09-2021_19.09.39,76.0,25.8
932660,07-09-2021_19.10.09,76.0,25.8
932690,07-09-2021_19.10.39,76.0,25.8
932720,07-09-2021_19.11.09,76.0,25.8
932750,07-09-2021_19.11.39,76.0,25.8
932780,07-09-2021_19.12.09,76.1,25.8
932811,07-09-2021_19.12.39,76.1,25.8
932841,07-09-2021_19.13.09,75.9,25.8
932871,07-09-2021_19.13.39,75.8,25.9
932901,07-09-2021_19.14.09,75.6,25.9
932931,07-09-2021_19.14.39,75.4,25.9
932961,07-09-2021_19.15.09,75.2,25.9
932991,07-09-2021_19.15.39,75.2,25.9
933021,07-09-2021_19.16.09,75.0,25.9
933051,07-09-2021_19.16.39,74.8,26.0
933081,07-09-2021_19.17.09,74.7,26.0
933111,07-09-2021_19.17.39,74.6,26.0
933141,07-09-2021_19.18.09,74.3,26.0
933171,07-09-2021_19.18.39,74.1,26.0
933201,07-09-2021_19.19.09,74.0,26.0
933231,07-09-2021_19.19.40,73.9,26.0
933261,07-09-2021_19.20.10,73.8,26.0
933291,07-09-2021_19.20.40,73.7,26.0
933321,07-09-2021_19.21.10,73.7,26.0
933351,07-09-2021_19.21.40,73.7,26.0
933381,07-09-2021_19.22.10,73.7,26.0
933411,07-09-2021_19.22.40,73.7,26.0
933441,07-09-2021_19.23.10,73.8,26.0
933471,07-09-2021_19.23.40,73.8,26.0
933501,07-09-2021_19.24.10,73.9,26.0
933531,07-09-2021_19.24.40,73.9,26.0
933561,07-09-2021_19.25.10,74.0,26.0
933592,07-09-2021_19.25.40,74.0,26.0
933622,07-09-2021_19.26.10,74.1,26.0
933652,07-09-2021_19.26.40,74.2,26.0
933682,07-09-2021_19.27.10,74.2,26.0
933712,07-09-2021_19.27.40,74.1,26.0
933742,07-09-2021_19.28.10,74.1,26.0
933772,07-09-2021_19.28.40,74.1,26.0
933802,07-09-2021_19.29.10,74.1,26.0
933832,07-09-2021_19.29.40,74.2,26.0
